id,api_path,label
1,re:^Landroid/accounts/AccountManager;->getAccounts()[Landroid/accounts/Account;,source
2,re:^Landroid/accounts/AccountManager;->getAccountsByType(Ljava/lang/String;)[Landroid/accounts/Account;,source
3,re:^Landroid/content/SharedPreferences;->getAll()Ljava/util/Map;,source
4,re:^Landroid/content/SharedPreferences;->getBoolean(Ljava/lang/String; Z)Z,source
5,re:^Landroid/content/SharedPreferences;->getInt(Ljava/lang/String; I)I,source
6,re:^Landroid/content/SharedPreferences;->getLong(Ljava/lang/String; J)J,source
7,re:^Landroid/content/SharedPreferences;->getString(Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;,source
8,re:^Landroid/content/SharedPreferences;->getStringSet(Ljava/lang/String; Ljava/util/Set;)Ljava/util/Set;,source
9,re:^Lcom/google/android/gms/ads/identifier/AdvertisingIdClient$Info;-><init>(Ljava/lang/String; Z)V,source
10,re:^Lcom/google/android/gms/ads/identifier/AdvertisingIdClient$Info;->getId()Ljava/lang/String;,source
11,re:^Lcom/google/android/gms/ads/identifier/AdvertisingIdClient$Info;->isLimitAdTrackingEnabled()Z,source
12,re:^Lcom/google/android/gms/ads/identifier/AdvertisingIdClient;-><init>(Landroid/content/Context; J Z Z)V,source
13,re:^Lcom/google/android/gms/ads/identifier/AdvertisingIdClient;-><init>(Landroid/content/Context;)V,source
14,re:^Lcom/google/android/gms/ads/identifier/AdvertisingIdClient;->getAdvertisingIdInfo(Landroid/content/Context;)Lcom/google/android/gms/ads/identifier/AdvertisingIdClient$Info;,source
15,re:^Lcom/google/android/gms/ads/identifier/AdvertisingIdClient;->zzf(I)Lcom/google/android/gms/ads/identifier/AdvertisingIdClient$Info;,source
16,re:^Lcom/google/android/gms/ads/identifier/zzb;-><init>(Lcom/google/android/gms/ads/identifier/AdvertisingIdClient; J)V,source
17,re:^Lcom/huawei/hms/ads/identifier/AdvertisingIdClient$Info;->getId()Ljava/lang/String;,source
18,re:^Lcom/huawei/hms/ads/identifier/AdvertisingIdClient$Info;->isLimitAdTrackingEnabled()Z,source
19,re:^Lcom/huawei/hms/ads/identifier/AdvertisingIdClient;->getAdvertisingIdInfo(Landroid/content/Context;)Lcom/huawei/hms/ads/identifier/AdvertisingIdClient$Info;,source
20,re:^Lcom/<apk>/.*;->get.*Id\(.*\)Ljava/lang/String;$,source
21,re:^Lcom/<apk>/.*;->read.*Token.*\(.*\)Ljava/lang/String;$,source
22,re:^Lcom/<apk>/AccessToken;->getToken\(\)Ljava/lang/String;$,source
23,re:^Lcom/<apk>/AccessToken;->getUserId\(\)Ljava/lang/String;$,source
24,re:^Lcom/<apk>/<apk>Sdk;->getApplicationId\(\)Ljava/lang/String;$,source
25,re:^Lcom/<apk>/Profile;->getId\(\)Ljava/lang/String;$,source
26,re:^Lcom/<apk>/Profile;->getName\(\)Ljava/lang/String;$,source
27,re:^Lcom/<apk>/account/login/helper/credentialmanager/CredentialManagerConfigHelper;\->getCurrentAppId\(\)Ljava/lang/String;$,source
28,re:^Lcom/<apk>/account/login/helper/credentialmanager/CredentialManagerConfigHelper;\->getGoogleClientId\(\)Ljava/lang/String;$,source
29,re:^Lcom/<apk>/acra/anr/ANRDetectorListener;\->getBlackBoxTraceId\(\)Ljava/lang/String;$,source
30,re:^Lcom/<apk>/acra/anr/ANRDetectorListener;\->getLongStallTraceId\(\)Ljava/lang/String;$,source
31,re:^Lcom/<apk>/acra/criticaldata/CriticalAppData;\->getDeviceId\(Landroid/content/Context;\)Ljava/lang/String;$,source
32,re:^Lcom/<apk>/acra/criticaldata/CriticalAppData;\->getUnderlyingAccountUserId\(Landroid/content/Context;\)Ljava/lang/String;$,source
33,re:^Lcom/<apk>/acra/criticaldata/CriticalAppData;\->getUserId\(Landroid/content/Context;\)Ljava/lang/String;$,source
34,re:^Lcom/<apk>/audience/snacks/model/AdStory;\->getAdId\(\)Ljava/lang/String;$,source
35,re:^Lcom/<apk>/browser/lite/util/clickid/ClickIDAppender;\->getFbclid\(Ljava/lang/String;\)Ljava/lang/String;$,source
36,re:^Lcom/<apk>/common/appcomponentfactory/doppelganger/DoppelAppComponentFactory;\->getProcessNameByPid\(I\)Ljava/lang/String;$,source
37,re:^Lcom/<apk>/common/dextricks/DexStore;\->getIdForTracing\(Ljava/io/File;\)Ljava/lang/String;$,source
38,re:^Lcom/<apk>/common/dextricks/OdexSchemeOreo;\->getPrimaryDexIdentifierString\(Landroid/content/Context;\)Ljava/lang/String;$,source
39,re:^Lcom/<apk>/common/dextricks/ProcessHelper;\->getProcessNameByPid\(I\)Ljava/lang/String;$,source
40,re:^Lcom/<apk>/facecast/livewith/rsys/engine/RsysLiveWithEngineImpl;\->getDominantSpeakerId\(LX/bTC;\ Lcom/google/common/collect/ImmutableList;\)Ljava/lang/String;$,source
41,re:^Lcom/<apk>/flipper/core/FlipperPlugin;\->getId\(\)Ljava/lang/String;$,source
42,re:^Lcom/<apk>/location/platform/api/Location;\->getUnderlyingProvider\(\)Ljava/lang/String;$,source
43,re:^Lcom/<apk>/messaginginblue/peoplepicker/data/model/item/PickerItem;\->getId\(\)Ljava/lang/String;$,source
44,re:^Lcom/<apk>/messenger/notification/engine/MSGNotificationEngineUnreadMessage;\->getMessageId\(\)Ljava/lang/String;$,source
45,re:^Lcom/<apk>/messenger/notification/engine/MSGOpenPathRenderedNotification;\->getChannelId\(\)Ljava/lang/String;$,source
46,re:^Lcom/<apk>/messenger/notification/engine/MSGOpenPathRenderedNotification;\->getMessageId\(\)Ljava/lang/String;$,source
47,re:^Lcom/<apk>/messenger/notification/engine/MSGOpenPathRenderedNotification;\->getNotificationId\(\)Ljava/lang/String;$,source
48,re:^Lcom/<apk>/mobileconfig/MobileConfigManagerHolderImpl;\->getFamilyDeviceId\(\)Ljava/lang/String;$,source
49,re:^Lcom/<apk>/mobileconfig/MobileConfigManagerParamsHolder;\->getFamilyDeviceId\(\)Ljava/lang/String;$,source
50,re:^Lcom/<apk>/mobileconfig/init/epush/MobileConfigAEDResponseInterceptor;\->getUserId\(\)Ljava/lang/String;$,source
51,re:^Lcom/<apk>/msys/mci/AuthData;\->get<apk>UserIDNative\(J\)Ljava/lang/String;$,source
52,re:^Lcom/<apk>/msys/mci/AuthData;\->get<apk>UserID\(\)Ljava/lang/String;$,source
53,re:^Lcom/<apk>/msys/mci/TraceInfo;\->getTraceIdNative\(J\)Ljava/lang/String;$,source
54,re:^Lcom/<apk>/msys/mci/TraceInfo;\->getTraceId\(\)Ljava/lang/String;$,source
55,re:^Lcom/<apk>/msys/mci/VideoEdits;\->getPreviewComposerSessionId\(\)Ljava/lang/String;$,source
